Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,Do you consent to participate and agree to these terms? (oo4eyne),in_progressIncrement,What are your current meditative and spiritual practices? Please tick all that apply. (ua0spdk),spiritualPracticeChecklistAnswers,Please share your current meditative and spiritual practices. (yj7qwt4),freetextifSomethingElseisaPractice,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (dxbqro5)","Over your whole lifetime, approximately how many total hours of formal meditation practice, prayer, or mindful contemplation from any spiritual tradition have you done? (2eykr8v)",hoursofMindFocusedPracticeLifetime,"Over your whole lifetime, approximately how many total hours of other formal breath or movement-based practice have you done (for example, yoga, tai chi, qi gong, martial arts, but NOT including activities such as team sports or athletics). (fsr58uk)",hoursofBodyFoucsedPracticeLifetime,out_progress,"Have you ever taken psychedelic drugs and then experienced lasting, significant or sudden change to your emotions, paradigms, habits, sense of identity, or perception of life? (cgjc4xu)",drugImpacts,"Have you ever explicitly attempted any formal magical, divine or occult practices, such as healing prayer, banishing, spirit contact, mind reading, clairvoyance, divination, astral travel, spell casting, or telekinesis? (a250clw)",magicalPracticesFreq,"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-? (nd7atoc)",supernaturalExperiences,"Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-. (e0kzqd7)",freetextifSomethingElseisanExperience,"Have you ever had sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded? (eczytws)",unusualNondrugMentalEvents,"Please share any other sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded. (iyy6byr)",freetextNondrugMentalEventswereSomethingElse,Please write the number of retreats you-ve attended. (ulbtcpw),noRetreats,Please estimate the total number of days you-ve had on retreats so far in your life. (261my3q),noDaysofRetreat,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (fz15ziw)",Please estimate the total number of days you-ve spent on retreats so far in your life. (ogyyvcs),"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-? (ovc05rd)","Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-. (x3yjzfj)","Sometimes these unusual mental events are seen in positive and-or transformative terms, even if they weren-t all pleasant. Which of these terms (or their very near equivalents) you have ever thought might reasonably apply to what was going on with you? (rf9besl)"
20.1,0,5959518,54,12/21/20 20:19,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.6,0,5959580,54,12/21/20 20:29,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,10,10,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
9.82,0,5959603,54,12/21/20 20:32,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,2.0,2.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Ego Dissolution
12.13,0,5959610,54,12/21/20 20:33,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.37,0,5959618,54,12/21/20 20:34,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,3000,3000,20.0,20.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
34.33,0,5959474,54,12/21/20 20:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Something else""]","I do yoga twice a week for about 20 minutes. I also practice astral projection, which I don't have a regularly scheduled time for it, I just do it whenever I'm relaxing alone and  without distractions","I do yoga twice a week for about 20 minutes. I also practice astral projection, which I don't have a regularly scheduled time for it, I just do it whenever I'm relaxing alone and  without distractions",,50 | 120,120,55.0,55.0,0.98,,,Yes – I do this a lot now,4,,"[""Yes, I have experience of leaving my body behind to travel to some other place""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any. | I've attended at least one. | I haven't attended any.,,"Yes, I have experience of leaving my body behind to travel to some other place",,"I read the question, but I never thought any of these applied to me"
8.75,0,5959651,54,12/21/20 20:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,3000,3000,300.0,300.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
4.58,0,5959686,54,12/21/20 20:44,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
4.18,0,5959698,54,12/21/20 20:47,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Tibetan or other Vajrayana spiritual practice"",""Christian prayer or spiritual practice""]",,,,100,100,60.0,60.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.27,0,5959692,54,12/21/20 20:45,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
33.05,0,5959515,54,12/21/20 20:19,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,800,800,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,10.0,10.0,,40.0,I've attended at least one.,40.0,"No, I have never had such experiences",,Divine Revelation
8.27,0,5959687,54,12/21/20 20:44,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,250,250,200.0,200.0,0.84,,1,Yes – I do this a little now,3,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,5.0,5.0,,15.0,I've attended at least one.,15.0,"Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Enlightenment,Awakening,Breakthrough Experience,Chakras and/or energy channels"
12.55,0,5959668,54,12/21/20 20:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Theravada/Mahasi/Thai insight meditation"",""Hindu spiritual practice"",""Other buddhist spiritual practice""]",,,,2,2,2.0,2.0,0.84,,-1,Yes – I do this a little now,3,,"[""Yes, I have had visions of other places or objects not physically present"",""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,4.0,4.0,,16.0,I've attended at least one.,16.0,"Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened",,"Spiritual Ecstasy,Extremely rapid perception of “mind moments”,Awakening"
14.58,0,5959655,54,12/21/20 20:40,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,120,120,35.0,35.0,0.84,,unsure,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I saw bright lights that were not physically present,Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I saw bright lights that were not physically present"",""Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
32.38,0,5959546,54,12/21/20 20:23,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
31.22,0,5959586,54,12/21/20 20:30,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Christian prayer or spiritual practice"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,120,120,400.0,400.0,0.84,,,Yes – I did this a little in the past,1,,"[""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,5.0,I've attended at least one.,5.0,"Yes, I have experience of leaving my body behind to travel to some other place,Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"I read the question, but I never thought any of these applied to me"
8.72,0,5959748,54,12/21/20 20:55,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Zen buddhist spiritual practice"",""Islamic prayer or spiritual practice"",""Other buddhist spiritual practice"",""Christian prayer or spiritual practice""]",,,,10,10,5.0,5.0,0.84,,-1,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had visions of other places or objects not physically present"",""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames,Yes, I saw bright lights that were not physically present","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames"",""Yes, I saw bright lights that were not physically present""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened",,"Ultimate Reality,Divine Marriage,Samadhi"
16.27,0,5959708,54,12/21/20 20:49,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,5,5,5.0,5.0,0.84,,,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
24.53,0,5959681,54,12/21/20 20:43,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,1000,1000,100.0,100.0,0.84,,unsure,Yes – I did this a little in the past,1,,"[""Yes, something else""]",,"Whenever I tried to do any of these occult practices, they never worked. However, I went through an experience that would be difficult to classify under the previous classifications. It was dark and it was inflicted upon me. These experiences led me to the faith that I have today. The story is too long and complicated to fully explain here.","No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, something else","Whenever I tried to do any of these occult practices, they never worked. However, I went through an experience that would be difficult to classify under the previous classifications. It was dark and it was inflicted upon me. These experiences led me to the faith that I have today. The story is too long and complicated to fully explain here.","I read the question, but I never thought any of these applied to me"
15.6,0,5960701,54,12/21/20 21:14,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I do mostly christian practices.,I do mostly christian practices.,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.12,0,5959860,54,12/21/20 21:18,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Something else"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]","I simply try to focus on my posture and breathing, as well as eating a balanced diet.  I use mindfulness and sitting in the quiet to allow all thoughts to clear through my head but I actively seek to follow them down wherever they take me until my mind is empty and calmed.","I simply try to focus on my posture and breathing, as well as eating a balanced diet.  I use mindfulness and sitting in the quiet to allow all thoughts to clear through my head but I actively seek to follow them down wherever they take me until my mind is empty and calmed.",,50,50,75.0,75.0,0.84,,1,Yes – I did this a little in the past,1,,"[""Yes, I have experience of leaving my body behind to travel to some other place""]",,,"Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, I have experience of leaving my body behind to travel to some other place",,"Breakthrough Experience,Chakras and/or energy channels,Enlightenment"
16.02,0,5959947,54,12/21/20 21:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Enlightenment,Ego Dissolution"
8.37,0,5960035,54,12/21/20 21:55,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,2.0,I've attended at least one.,2.0,"No, I have never had such experiences",,
17.15,0,5960230,54,12/21/20 22:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,2,2,100.0,100.0,0.84,,-1,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Enlightenment
32.87,0,5960212,54,12/21/20 22:34,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,-1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Ego Dissolution,Cosmic Consciousness,Breakthrough Experience,Cosmic Oneness,Dissolution in the Love and/or Will of God,Non-Duality"
2.33,0,5960666,54,12/22/20 0:11,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
5.83,0,5960665,54,12/22/20 0:11,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,2,2,60.0,60.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.68,0,5960663,54,12/22/20 0:11,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,35,35,8.0,8.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,2.0,2.0,,6.0,I've attended at least one.,6.0,"Yes, I have had inexplicable knowledge of something that had not yet happened",,"I read the question, but I never thought any of these applied to me"
3.43,0,5960683,54,12/22/20 0:14,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Tibetan or other Vajrayana spiritual practice""]",,,,2,2,2.0,2.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Buddha Nature
6.65,0,5960676,54,12/22/20 0:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,50,50,100.0,100.0,0.84,,1,Yes – I did this a little in the past,1,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had inexplicable knowledge of something that had not yet happened",,Divine Revelation
8.65,0,5960669,54,12/22/20 0:12,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,2,2,100.0,100.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.15,0,5960675,54,12/22/20 0:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)""]",,,,1000,1000,250.0,250.0,0.84,,,Yes – I do this a little now,3,,"[""Yes, something else""]",,"I don't specifically believe anything magical or miraculous has happened, but there is a sense of ""otherness"" which seems to bring peace and/or insight sometimes.","Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, something else","I don't specifically believe anything magical or miraculous has happened, but there is a sense of ""otherness"" which seems to bring peace and/or insight sometimes.","I read the question, but I never thought any of these applied to me"
4.15,0,5960719,54,12/22/20 0:19,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
4.82,0,5960716,54,12/22/20 0:19,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,100,100,50.0,50.0,0.84,,1,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other places or objects not physically present""]",,,"Yes, I had my point of view suddenly shift out of my body to a different perspective","[""Yes, I had my point of view suddenly shift out of my body to a different perspective""]",,,3.0,3.0,,7.0,I've attended at least one.,7.0,"Yes, I have had visions of other places or objects not physically present",,"Cosmic Oneness,Enlightenment"
9.3,0,5960696,54,12/22/20 0:16,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]","Sit still, close eyes and remember a pleasant childhood memory.","Sit still, close eyes and remember a pleasant childhood memory.",,4,4,1.0,1.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.8,0,5960677,54,12/22/20 0:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,50,50,4.0,4.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,5.0,5.0,,7.0,I've attended at least one.,7.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
13.73,0,5960680,54,12/22/20 0:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,100,100,0.0,0.0,0.84,,,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.13,0,5960695,54,12/22/20 0:16,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Peak Experience
13.8,0,5960690,54,12/22/20 0:15,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, something else""]",,I've felt the presence of someone or something that was not physically there. It felt like there was a negative energy coming off of someone.,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, something else",I've felt the presence of someone or something that was not physically there. It felt like there was a negative energy coming off of someone.,"I read the question, but I never thought any of these applied to me"
11.73,0,5960706,54,12/22/20 0:18,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,100,100,0.0,0.0,0.84,,unsure,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts",,"Cosmic Consciousness,Enlightenment"
8.15,0,5960735,54,12/22/20 0:22,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I do breathing exercises and listen to soothing music.,I do breathing exercises and listen to soothing music.,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
9.07,0,5960748,54,12/22/20 0:24,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,75.0,75.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I saw bright lights that were not physically present","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I saw bright lights that were not physically present""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.7,0,5960756,54,12/22/20 0:25,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Ultimate Reality,Awakening,Spiritual Ecstasy,Divine Revelation"
21.97,0,5960688,54,12/22/20 0:15,vuui9i,,I decline | I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice"",""Something else""]","I was raised Catholic in a Catholic town but now days I have more doubts. Still I feel it is best to believe in something so I believe in Jesus as I was taught to. So I pray to Jesus and thank him from time to time. I also feel in reality that ""he"" of course is not a he and that we humans make God into something like us. It does not all add up by logic I fully realize. So sometimes I feel God may be more of an unknown universal force. And of course there may be no God. Atheism is harder than believing so I try to believe in Jesus.","I was raised Catholic in a Catholic town but now days I have more doubts. Still I feel it is best to believe in something so I believe in Jesus as I was taught to. So I pray to Jesus and thank him from time to time. I also feel in reality that ""he"" of course is not a he and that we humans make God into something like us. It does not all add up by logic I fully realize. So sometimes I feel God may be more of an unknown universal force. And of course there may be no God. Atheism is harder than believing so I try to believe in Jesus.",,400,400,1.0,1.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Enlightenment,Nirvana/Nibbana"
11.83,0,5960800,54,12/22/20 0:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,30,30,15.0,15.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I've attended at least one. | I haven't attended any. | I haven't attended any.,,"No, I have never had such experiences",,
13.83,0,5960794,54,12/22/20 0:33,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
