Minutes Spent,Points,age,device,gender,education,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,numberOfTotalSections,in_progressIncrement,User,Do you consent to participate and agree to these terms? (tt8ht02),partOfAnotherStudy,Please describe what you view as the *single biggest problem* in your life right now. (oeneidz),biggestLifeProblem,Which *one* of these categories best matches what you described as the biggest problem in your life right now? (vldz3v3),biggestProblem,biggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about? If so, choose the category that best describes this problem. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (49929eh)",biggestProblem2nd,biggestProblem2ndType,Do you think this would still be *one of your two biggest* problems in life if we were not currently going through the global COVID-19 pandemic? (61017ps),biggestProblemStillWouldBeWithoutCOVID,Please describe what you view as your *second* biggest problem in your life right now. (zxeicxk),secondBiggestLifeProblem,Which *one* of these categories best matches what you described as the *second* biggest problem in your life right now? (qtqzid2),secondBiggestProblem,secondBiggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about (shown above)? If so, choose the category that best describes this second biggest problem of yours. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (1zmhlg8)",secondBiggestProblem2nd
58.83,0,28,desktop,female,completedBachelorsDegree,11/6/20 23:58,1992,5,United States,"$85,000 to $114,999",1,5,100000,5807431,5,11/7/20 4:59,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest progblem right now is Covid and how my health is effected by it.,The single biggest progblem right now is Covid and how my health is effected by it.,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Thinking issue*: I have an intellectual disability, or have trouble with concentration, confusion, memory or thinking",intellectualProblem,brain,"No, it would not",0,Second biggest problem is not being able to hug my parents and hang out with my friends more.,Second biggest problem is not being able to hug my parents and hang out with my friends more.,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships
41.35,0,49,desktop,female,completedBachelorsDegree,11/7/20 0:14,1971,5,United States,"$60,000 to $84,999",1,4,72500,5807570,5,11/7/20 5:17,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My husband and I are struggling financially due to health issues. We are having trouble making our property tax, mortgage and health care payments and are living paycheck to paycheck which is causing a tremendous amount of anxiety on top of the health issues we already have.","My husband and I are struggling financially due to health issues. We are having trouble making our property tax, mortgage and health care payments and are living paycheck to paycheck which is causing a tremendous amount of anxiety on top of the health issues we already have.",*Health issue*: I have health problems or an illness,unemployment,health,*Low income*: I don't have enough income,notEnoughIncome,money,"No, it would not",0,"The second biggest problem in my life right now is the uncertainty in this country due to the President of this countries hate speech and the election. The divisiveness of this election,  systemic racism,  and polarization of parties has caused arguments within my family and a giant rift with some friends.","The second biggest problem in my life right now is the uncertainty in this country due to the President of this countries hate speech and the election. The divisiveness of this election,  systemic racism,  and polarization of parties has caused arguments within my family and a giant rift with some friends.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships
12.98,0,40,desktop,male,completedBachelorsDegree,11/7/20 0:37,1980,5,United States,"$25,000 to $39,999",0,2,32500,5807670,5,11/7/20 5:46,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"the coronavirus situation, as more than 100 thousand people get sick every day","the coronavirus situation, as more than 100 thousand people get sick every day",*Health issue*: I have health problems or an illness,unemployment,health,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,not being able to find a woman to get married,not being able to find a woman to get married,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,*None of these categories apply other than the one I already picked on the last question*,none
51.87,0,27,desktop,male,completedBachelorsDegree,11/7/20 0:07,1993,5,United States,"Less than $9,999",0,0,4500,5807503,5,11/7/20 5:07,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Cannot pay student loans,Cannot pay student loans,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"Yes, it still would likely be one of my two biggest life problems without COVID",1,No drive to make my life better,No drive to make my life better,"*Procrastination*: I procrastinate too much, or am lazy, or lack self-discipline, or don't feel motivated",procrastinationOrLaziness,behavior,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead
43.28,0,24,desktop,male,completedBachelorsDegree,11/7/20 0:13,1996,5,United States,"$25,000 to $39,999",0,2,32500,5807564,5,11/7/20 5:17,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My biggest problem is COVID-19. On that time I really depressed and face many financial and physical problems.,My biggest problem is COVID-19. On that time I really depressed and face many financial and physical problems.,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,My second biggest problem is stress.,My second biggest problem is stress.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,*None of these categories apply other than the one I already picked on the last question*,none
11.48,0,30,smartphone,female,completedAssociateDegreeOnly,11/7/20 0:48,1990,4,United States,"$40,000 to $59,999",1,3,50000,5807673,5,11/7/20 5:48,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I need to find a job that I am comfortable doing. It is hard to find one because I have major social anxiety and it is very hard and almost impossible to interact with random people or strangers.,I need to find a job that I am comfortable doing. It is hard to find one because I have major social anxiety and it is very hard and almost impossible to interact with random people or strangers.,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",none,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I am unaware of how I am going to finish getting everyone's gifts in time for Christmas.,I am unaware of how I am going to finish getting everyone's gifts in time for Christmas.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment
29.0,0,31,desktop,female,completedAssociateDegreeOnly,11/7/20 0:08,1989,4,United States,"$25,000 to $39,999",1,2,32500,5807625,5,11/7/20 5:33,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,earning enough money to support my fiancé and I.,earning enough money to support my fiancé and I.,*Low income*: I don't have enough income,notEnoughIncome,money,*Low income*: I don't have enough income,none,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,A lot of debt,A lot of debt,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Insufficient savings*: I don't have enough savings or I have too much debt,none
11.95,0,25,desktop,female,completedBachelorsDegree,11/7/20 0:52,1995,5,United States,"$85,000 to $114,999",1,5,100000,5807683,5,11/7/20 5:52,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,to get a promotion at work,to get a promotion at work,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,to save enough money for a new car,to save enough money for a new car,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind
12.5,0,33,desktop,male,completedBachelorsDegree,11/6/20 23:54,1987,5,United States,"$40,000 to $59,999",0,3,50000,5807681,5,11/7/20 5:52,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,my alcoholism,my alcoholism,*Addiction*: I am addicted to drugs or alcohol,addiction,behavior,*Addiction*: I am addicted to drugs or alcohol,none,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I plan poorly,I plan poorly,"*Procrastination*: I procrastinate too much, or am lazy, or lack self-discipline, or don't feel motivated",procrastinationOrLaziness,behavior,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals
35.0,0,28,desktop,male,completedMastersDegree,11/7/20 0:11,1992,6,United States,"$150,000 to $199,999",0,7,175000,5807611,5,11/7/20 5:30,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"The single biggest problem in my life right now is my job security. I fear that my employer is not doing well financially and that layoffs will be coming. I fear that if I get laid off, it would be hard to find a job that matches my current salary quickly. I also fear how I would support my family and pay the bills if I get laid off.","The single biggest problem in my life right now is my job security. I fear that my employer is not doing well financially and that layoffs will be coming. I fear that if I get laid off, it would be hard to find a job that matches my current salary quickly. I also fear how I would support my family and pay the bills if I get laid off.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,"The second biggest problem that I face in my life right now is my child's education and development. Currently he's being educated online because of COVID, and I worry about how much he is learning and how well he is adapting to this new way of learning. I try to help out by helping him with his coursework but I'm uncertain how much it does. I also worry about his social skills and friendship developing during this pandemic. He's going outside less and seeing his friends less.","The second biggest problem that I face in my life right now is my child's education and development. Currently he's being educated online because of COVID, and I worry about how much he is learning and how well he is adapting to this new way of learning. I try to help out by helping him with his coursework but I'm uncertain how much it does. I also worry about his social skills and friendship developing during this pandemic. He's going outside less and seeing his friends less.","*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*None of these categories apply other than the one I already picked on the last question*,none
25.38,0,27,desktop,male,completedAssociateDegreeOnly,11/7/20 0:00,1993,4,United States,"$200,000 or more",0,8,225000,5807656,5,11/7/20 5:40,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem right now is COVID-19. The shutdown greatly impacts my wellbeing and mental health. I have really been struggling since the lockdowns started and it hasn't got much better. The way it has been handled here in the US has been very frustrating.,The single biggest problem right now is COVID-19. The shutdown greatly impacts my wellbeing and mental health. I have really been struggling since the lockdowns started and it hasn't got much better. The way it has been handled here in the US has been very frustrating.,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"No, it would not",0,The second biggest problem in my life is my eating disorder. I have been in treatment previously and have been trying my best to stay in recovery. But it has been very challenging and harder than I thought it would be. It is a fight every single day and something that brings me down.,The second biggest problem in my life is my eating disorder. I have been in treatment previously and have been trying my best to stay in recovery. But it has been very challenging and harder than I thought it would be. It is a fight every single day and something that brings me down.,"*Mental Health (other)*: I have other mental health challenges (*not* including anxiety or depression) - for instance bi-polar disorder, psychosis, borderline personality disorder, anorexia, etc.",otherMentalHealthNotAnxietyDepression,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
21.92,0,32,desktop,male,completedBachelorsDegree,11/7/20 0:00,1988,5,United States,"$25,000 to $39,999",0,2,32500,5807668,5,11/7/20 5:46,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life currently is my car issues. I having trouble completely figuring out a low cost way to fix it on my own.,The single biggest problem in my life currently is my car issues. I having trouble completely figuring out a low cost way to fix it on my own.,*Low income*: I don't have enough income,notEnoughIncome,money,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is getting started on my business plan. I keep running into other things that I need to do that keeps me from focusing on my business idea.,My second biggest problem is getting started on my business plan. I keep running into other things that I need to do that keeps me from focusing on my business idea.,*Disorganization*: I am too disorganized,disorganized,behavior,"*Procrastination*: I procrastinate too much, or am lazy, or lack self-discipline, or don't feel motivated",procrastinationOrLaziness
59.2,0,25,desktop,male,completedBachelorsDegree,11/7/20 0:05,1995,5,United States,"$40,000 to $59,999",0,3,50000,5807513,5,11/7/20 5:08,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My biggest problem is basically paying for my bills during the coronavirus pandemic, since I am currently unemployed as a result of the disease.","My biggest problem is basically paying for my bills during the coronavirus pandemic, since I am currently unemployed as a result of the disease.",*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,*Unemployment*: I am unemployed or I am having trouble finding enough work,none,work,"No, it would not",0,"My second biggest problem  is  managing my personal life, since my  parents are getting divorced and our entire family is going our separate ways.","My second biggest problem  is  managing my personal life, since my  parents are getting divorced and our entire family is going our separate ways.","*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,*None of these categories apply other than the one I already picked on the last question*,none
56.9,0,25,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/7/20 0:00,1995,2,United States,"$60,000 to $84,999",0,4,72500,5807529,5,11/7/20 5:11,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I think the biggest problem for me has to be my overall sadness and apathy to pretty much everything at the moment,I think the biggest problem for me has to be my overall sadness and apathy to pretty much everything at the moment,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude,psychology,"No, it would not",0,My second biggest problem in life is probably dealing with the fturue,My second biggest problem in life is probably dealing with the fturue,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue
72.67,0,30,desktop,male,completedTradeTechicalVocationalTraing,11/6/20 23:55,1990,3,United States,"$60,000 to $84,999",0,4,72500,5807379,5,11/7/20 4:55,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I am not making enough money to live like this for much longer due to COVID.  Not having a stable job is hard financially and is very frustrating to have to experience everyday.  I have been trying to look for another job but it is hard and I miss they job I had as a trainer.  Making money is my biggest problem right now.,I am not making enough money to live like this for much longer due to COVID.  Not having a stable job is hard financially and is very frustrating to have to experience everyday.  I have been trying to look for another job but it is hard and I miss they job I had as a trainer.  Making money is my biggest problem right now.,*Low income*: I don't have enough income,notEnoughIncome,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"No, it would not",0,My second biggest problem is dealing with my own mental well being.  I have had many issues with depression and not feeling motivated in life.  Not having income and having so much more extra time makes it worse.  Not having relationships that I can communicate with like friends face to face is very challenging and makes it harder.  I miss seeing my friends and family daily.,My second biggest problem is dealing with my own mental well being.  I have had many issues with depression and not feeling motivated in life.  Not having income and having so much more extra time makes it worse.  Not having relationships that I can communicate with like friends face to face is very challenging and makes it harder.  I miss seeing my friends and family daily.,"*Mental Health (other)*: I have other mental health challenges (*not* including anxiety or depression) - for instance bi-polar disorder, psychosis, borderline personality disorder, anorexia, etc.",otherMentalHealthNotAnxietyDepression,psychology,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression
58.85,0,41,desktop,male,completedMastersDegree,11/7/20 0:10,1979,6,United States,"$115,000 to $149,999",0,6,132500,5807532,5,11/7/20 5:11,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Trying to pay for my daughter's tuition.,Trying to pay for my daughter's tuition.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,High levels of stress at work currently,High levels of stress at work currently,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime
69.2,0,39,desktop,male,completedBachelorsDegree,11/7/20 0:02,1981,5,United States,"$10,000 to $24,999",0,1,17500,5807463,5,11/7/20 5:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Debt settlement due to this lockdown it was hard to run day to day life hence used credit card to max to manage, I have never miss a single due in my record now i am worried how will I clear my dues, I am back on work but it will take some time to stabilize. I don't want a dented track record.","Debt settlement due to this lockdown it was hard to run day to day life hence used credit card to max to manage, I have never miss a single due in my record now i am worried how will I clear my dues, I am back on work but it will take some time to stabilize. I don't want a dented track record.",*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"Due to this Lockdown I have gained so much of weight and physical health seems concerned need to work on it but work have started and unable to spare time now, so physical fitness is the second thing I need to concentrate.","Due to this Lockdown I have gained so much of weight and physical health seems concerned need to work on it but work have started and unable to spare time now, so physical fitness is the second thing I need to concentrate.",*Obesity*: I am obese or weigh too much,obsesity,health,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime
17.03,0,49,desktop,male,completedAssociateDegreeOnly,11/6/20 23:57,1971,4,United States,"$25,000 to $39,999",0,2,32500,5807688,5,11/7/20 5:55,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My single biggest problem is not having a car.  Relying on others for rides and inconsistent public transportation options is causing a lot of problems.,My single biggest problem is not having a car.  Relying on others for rides and inconsistent public transportation options is causing a lot of problems.,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*Low income*: I don't have enough income | *Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Too much stress in life.  Between my job that's only become more tedious with COVID restrictions and mandates and the stress my roommates are causing me I've very overwhelmed with life and don't see it getting better any time soon.,Too much stress in life.  Between my job that's only become more tedious with COVID restrictions and mandates and the stress my roommates are causing me I've very overwhelmed with life and don't see it getting better any time soon.,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",none
50.32,0,31,desktop,female,completedBachelorsDegree,11/7/20 0:10,1989,5,United States,"Less than $9,999",1,0,4500,5807585,5,11/7/20 5:22,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My lack of financial security.,My lack of financial security.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Diabetes Mellitus II,Diabetes Mellitus II,*Health issue*: I have health problems or an illness,unemployment,health,*Obesity*: I am obese or weigh too much,obsesity
14.7,0,27,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/7/20 1:00,1993,2,United States,"$25,000 to $39,999",0,2,32500,5807700,5,11/7/20 6:00,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I am having financial difficulties at the moment.,I am having financial difficulties at the moment.,*Low income*: I don't have enough income,notEnoughIncome,money,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"No, it would not",0,I have no friends or a girlfriend so I am lonely at the moment.,I have no friends or a girlfriend so I am lonely at the moment.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet
13.02,0,48,desktop,female,completedMastersDegree,11/7/20 0:35,1972,6,United States,"$40,000 to $59,999",1,3,50000,5807704,5,11/7/20 6:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in communication is the illusion that it has taken place. 15 Simple Ways To Make Self Improvement That Will Change our Life,The single biggest problem in communication is the illusion that it has taken place. 15 Simple Ways To Make Self Improvement That Will Change our Life,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals,goals,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,The second biggest problem when it comes to money and business is not knowing how to create anything we want,The second biggest problem when it comes to money and business is not knowing how to create anything we want,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*None of these categories apply other than the one I already picked on the last question*,none
28.33,0,38,desktop,male,completedBachelorsDegree,11/7/20 0:50,1982,5,United States,"$60,000 to $84,999",0,4,72500,5807679,5,11/7/20 5:51,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I faced a problem just last week when our family's kitchen sink developed a serious leak.  There was water all over our kitchen floor and piles of dishes to be washed.  But our landlord was out of town for the week.  I come from a big family-I have six brothers and sisters-so we couldn't afford to wait until arrival of him, so we decided to repair that. when I had a problem with my car and couldn't the repairs right away, my problem become an opportunity to get some exercise-something I'd been waiting to do anyway.  I had to walk a mile each day to get to the bus stop and back.  But in the meantime, I got the chance to start getting back in shape, and I saved a lot on gas.","I faced a problem just last week when our family's kitchen sink developed a serious leak.  There was water all over our kitchen floor and piles of dishes to be washed.  But our landlord was out of town for the week.  I come from a big family-I have six brothers and sisters-so we couldn't afford to wait until arrival of him, so we decided to repair that. when I had a problem with my car and couldn't the repairs right away, my problem become an opportunity to get some exercise-something I'd been waiting to do anyway.  I had to walk a mile each day to get to the bus stop and back.  But in the meantime, I got the chance to start getting back in shape, and I saved a lot on gas.","*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf,behavior,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,"I had a problem in school a few years ago when I couldn't understand my math class.  I started failing my quizzes and homework assignments.  I wasn't sure what to so, so finally I went to the teacher and asked for help.  She said she would arrange for me to be tutored by another student who was her best student.  In return, though, I'd have to help that student around school.","I had a problem in school a few years ago when I couldn't understand my math class.  I started failing my quizzes and homework assignments.  I wasn't sure what to so, so finally I went to the teacher and asked for help.  She said she would arrange for me to be tutored by another student who was her best student.  In return, though, I'd have to help that student around school.","*Thinking issue*: I have an intellectual disability, or have trouble with concentration, confusion, memory or thinking",intellectualProblem,brain,*None of these categories apply other than the one I already picked on the last question*,none
37.3,0,44,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/7/20 0:39,1976,2,United States,"$150,000 to $199,999",0,7,175000,5807666,5,11/7/20 5:44,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I think the single biggest problem is myself and my family avoiding COVID, or surviving COVID if I/we get it.","I think the single biggest problem is myself and my family avoiding COVID, or surviving COVID if I/we get it.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"No, it would not",0,My second biggest problem is my health in general and the health of my family.,My second biggest problem is my health in general and the health of my family.,*Health issue*: I have health problems or an illness,unemployment,health,*Obesity*: I am obese or weigh too much,obsesity
69.63,0,47,desktop,female,completedMastersDegree,11/7/20 0:12,1973,6,United States,"$60,000 to $84,999",1,4,72500,5807538,5,11/7/20 5:12,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The biggest problem in my life right now is the uncertainty o my financial future.,The biggest problem in my life right now is the uncertainty o my financial future.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is that I don't have sufficient time for self-care.,My second biggest problem is that I don't have sufficient time for self-care.,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf,behavior,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime
30.9,0,30,desktop,male,completedAssociateDegreeOnly,11/7/20 0:50,1990,4,United States,"Less than $9,999",0,0,4500,5807680,5,11/7/20 5:52,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I would say my biggest problem in life right now the fact my work has dipped over the past three or so months. It seems like it's picking up at times, and other times it dips hard. So I'm hoping it gets back to normal by January so I can stop stressing over it.","I would say my biggest problem in life right now the fact my work has dipped over the past three or so months. It seems like it's picking up at times, and other times it dips hard. So I'm hoping it gets back to normal by January so I can stop stressing over it.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"I would say staying out of my own head and dealing with my anxiety and depression better. I do well 90% of the time, but it's been pretty hard as of late to keep positive.","I would say staying out of my own head and dealing with my anxiety and depression better. I do well 90% of the time, but it's been pretty hard as of late to keep positive.","*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
80.25,0,31,desktop,male,completedMastersDegree,11/7/20 0:02,1989,6,United States,"$115,000 to $149,999",0,6,132500,5807498,5,11/7/20 5:07,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"The biggest problem in my life right now is having to deal with COVID-19 and my lack of motivation to do a lot. Due to COVID, I'm not able to see my family when I want. Since I'm not socializing, my motivation to do things have gone down significantly where I can't even work on projects I used to love as much.  I can't wait for COVID to go away.","The biggest problem in my life right now is having to deal with COVID-19 and my lack of motivation to do a lot. Due to COVID, I'm not able to see my family when I want. Since I'm not socializing, my motivation to do things have gone down significantly where I can't even work on projects I used to love as much.  I can't wait for COVID to go away.","*Procrastination*: I procrastinate too much, or am lazy, or lack self-discipline, or don't feel motivated",procrastinationOrLaziness,behavior,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue,health,"No, it would not",0,My second biggest problem now is my worry about family. I've ben separated from my parents for months due to COVID and I constantly worry about them. My parents are in a higher risk group so my mind is always there.,My second biggest problem now is my worry about family. I've ben separated from my parents for months due to COVID and I constantly worry about them. My parents are in a higher risk group so my mind is always there.,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*None of these categories apply other than the one I already picked on the last question*,none
